Regime_Filter,Threshold,Holding_Period,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Win_Rate,Profit_Factor,Trades,Exposure,Buy_Hold_Return,Excess_Return
Only_Uptrend,0.8,10,-0.07301770827298504,-0.023003191355352226,-0.4151584969919728,-0.16191144397022517,-0.14843513446207757,0.5714285714285714,0.6434753584425357,7,0.09625,-0.3124085033541204,0.23939079508113537
Only_Uptrend,0.8,15,0.02945399319621056,0.00894962636033414,0.1792796790927618,0.08418730984375788,-0.11476932702601339,0.6666666666666666,1.328893808764093,6,0.12,-0.3124085033541204,0.34186249655033096
Only_Uptrend,0.8,20,-0.07872893573961526,-0.024854692140973467,-0.34078054681912523,-0.17225468952883524,-0.13846894296380607,0.6,0.6139448137959838,5,0.13125,-0.3124085033541204,0.23367956761450515
Exclude_Bad_Downtrend,0.6,5,-0.38171820848254445,-0.13720368795150584,-1.218896028603053,-0.9279594071235476,-0.41172590553385613,0.35294117647058826,0.46287419244318856,51,0.38,-0.3124085033541204,-0.06930970512842405
Exclude_Bad_Downtrend,0.6,10,-0.36833399336110106,-0.13151349031498072,-0.9640714372768763,-0.9190305626031565,-0.4235971592174135,0.4,0.490610317279319,35,0.47625,-0.3124085033541204,-0.05592549000698066
Exclude_Bad_Downtrend,0.6,15,-0.2689891510862531,-0.0916906987956968,-0.565000556276215,-0.6263490118744094,-0.37259864808623355,0.4074074074074074,0.6036840763756859,27,0.5275,-0.3124085033541204,0.043419352267867306
Exclude_Bad_Downtrend,0.6,20,-0.26746938112472296,-0.09111151229840331,-0.5603127228116848,-0.5986226404360976,-0.41474307728833437,0.38095238095238093,0.5872837962679667,21,0.535,-0.3124085033541204,0.044939122229397443
Exclude_Bad_Downtrend,0.65,5,-0.2645162913109568,-0.08998846257783077,-0.8109426443096809,-0.6064445549704633,-0.2870816888370873,0.3829787234042553,0.5888449456108761,47,0.35,-0.3124085033541204,0.04789221204316363
Exclude_Bad_Downtrend,0.65,10,-0.3453392422317526,-0.12192952264822177,-0.913165520817258,-0.8232579694865998,-0.42090858446731594,0.42424242424242425,0.49926583652372936,33,0.44875,-0.3124085033541204,-0.032930738877632204
Exclude_Bad_Downtrend,0.65,15,-0.15109313469235275,-0.04903437934695376,-0.30942235758300407,-0.3185594919047468,-0.28500941353385245,0.5652173913043478,0.7503113490567911,23,0.45375,-0.3124085033541204,0.16131536866176766
Exclude_Bad_Downtrend,0.65,20,-0.14305065944636863,-0.04627813815715387,-0.26330928739821724,-0.273972390533929,-0.3374383912522174,0.45,0.7447605157260033,20,0.5075,-0.3124085033541204,0.16935784390775177
Exclude_Bad_Downtrend,0.7,5,-0.16044654943110548,-0.05226275176170658,-0.4980408302661403,-0.34228678430295545,-0.2475648824829061,0.4146341463414634,0.729296365014091,41,0.30125,-0.3124085033541204,0.15196195392301493
Exclude_Bad_Downtrend,0.7,10,-0.1970342028162999,-0.06513607734992721,-0.49925979477296417,-0.420442170714535,-0.3512580531706666,0.5,0.6926187509855931,28,0.38125,-0.3124085033541204,0.1153743005378205
Exclude_Bad_Downtrend,0.7,15,-0.043516166984295945,-0.013563048113015452,-0.03992484216296514,-0.04312306750487876,-0.2442945636619709,0.5454545454545454,0.9711828979050691,22,0.42875,-0.3124085033541204,0.26889233636982446
Exclude_Bad_Downtrend,0.7,20,-0.1684713631809407,-0.05505247905895705,-0.3311977859362274,-0.3193580080946888,-0.3588776988213712,0.47368421052631576,0.7006982375145233,19,0.47375,-0.3124085033541204,0.1439371401731797
